                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2955,                  2.871,                0.96853,                0.37486,                 0.2797,                0.28689,                0.19645,                 1.1058,                 2.1732,                0.91464,             0.00027483,             0.00027483,             0.00027483
                      2,                 1.0888,                   1.75,                0.90664,                0.34717,                0.48467,                0.37747,                0.26985,                  1.018,                 1.4577,                0.90175,             0.00053427,             0.00053427,             0.00053427
                      3,                 1.0473,                 1.5735,                0.90284,                0.41436,                0.49753,                0.43274,                0.30809,                0.94804,                 1.4123,                0.88782,             0.00077538,             0.00077538,             0.00077538
                      4,                 1.0142,                 1.5059,                0.90141,                0.40524,                0.47778,                0.39838,                0.29019,                0.98184,                 1.6593,                0.89249,             0.00075053,             0.00075053,             0.00075053
                      5,                 1.0006,                 1.4524,                0.89503,                0.52027,                 0.5751,                0.52858,                0.38879,                0.89896,                 1.2029,                0.87566,             0.00075053,             0.00075053,             0.00075053
                      6,                 0.9792,                 1.3598,                0.89043,                0.46535,                0.60005,                 0.5211,                0.38642,                 0.8957,                 1.2543,                0.88177,             0.00072304,             0.00072304,             0.00072304
                      7,                0.95721,                 1.3155,                0.88481,                0.46202,                0.54988,                0.48398,                0.35438,                0.89594,                 1.3402,                 0.8832,             0.00069556,             0.00069556,             0.00069556
                      8,                0.94669,                 1.2938,                0.88792,                0.51565,                0.56789,                 0.5491,                0.39715,                0.92626,                 1.1985,                0.89065,             0.00066807,             0.00066807,             0.00066807
                      9,                0.93226,                 1.2741,                0.88161,                0.52764,                0.56642,                0.55401,                0.41593,                0.85851,                  1.175,                0.86729,             0.00064058,             0.00064058,             0.00064058
                     10,                 0.9377,                 1.2424,                0.87997,                0.54828,                0.55824,                0.56448,                0.42245,                0.87312,                 1.1247,                0.87279,             0.00061309,             0.00061309,             0.00061309
                     11,                0.92217,                 1.2036,                0.87852,                0.53924,                0.59598,                0.58838,                0.44109,                0.85996,                 1.1048,                0.87291,              0.0005856,              0.0005856,              0.0005856
                     12,                0.91388,                 1.1901,                0.87652,                 0.5471,                0.55818,                0.54954,                0.41128,                0.86135,                 1.1352,                0.87488,             0.00055811,             0.00055811,             0.00055811
                     13,                0.89966,                 1.1869,                0.87763,                0.50545,                0.58288,                0.56677,                0.42429,                0.85718,                 1.1388,                0.86753,             0.00053062,             0.00053062,             0.00053062
                     14,                0.91229,                 1.1756,                0.87668,                0.56824,                0.59916,                0.58116,                0.43542,                0.87122,                 1.0783,                0.87799,             0.00050313,             0.00050313,             0.00050313
                     15,                0.88487,                 1.1473,                0.87115,                 0.5614,                0.56756,                0.56959,                0.43103,                0.84607,                 1.1084,                0.86391,             0.00047564,             0.00047564,             0.00047564
                     16,                0.87339,                 1.1235,                0.87155,                0.56268,                0.61336,                0.60823,                0.45781,                0.83071,                 1.0492,                0.87031,             0.00044815,             0.00044815,             0.00044815
                     17,                0.89632,                  1.131,                0.87512,                0.51651,                0.59665,                0.57849,                0.43764,                0.84052,                  1.119,                0.86692,             0.00042066,             0.00042066,             0.00042066
                     18,                0.87678,                 1.1009,                0.86928,                0.55423,                 0.6137,                0.61258,                0.46279,                0.83132,                 1.0351,                0.86249,             0.00039318,             0.00039318,             0.00039318
                     19,                0.88143,                 1.0974,                0.86997,                0.56492,                0.59787,                0.60831,                0.45868,                 0.8363,                 1.0666,                0.87302,             0.00036569,             0.00036569,             0.00036569
                     20,                0.86689,                 1.0745,                0.86865,                0.54813,                0.60975,                0.62054,                0.47274,                0.81463,                 1.0474,                0.86104,              0.0003382,              0.0003382,              0.0003382
                     21,                0.84539,                 1.0764,                0.86525,                0.57478,                 0.6255,                0.62262,                0.46874,                0.82915,                 1.0031,                0.86746,             0.00031071,             0.00031071,             0.00031071
                     22,                0.84004,                  1.051,                0.86537,                0.59451,                 0.5684,                0.60834,                0.46407,                0.83438,                 1.0305,                0.87026,             0.00028322,             0.00028322,             0.00028322
                     23,                0.83222,                  1.046,                0.86649,                0.56414,                0.59863,                0.62568,                0.47787,                0.80942,                 1.0105,                0.86217,             0.00025573,             0.00025573,             0.00025573
                     24,                0.83308,                 1.0222,                0.86646,                0.57663,                0.63409,                0.63218,                0.48201,                0.82897,                0.97143,                0.87023,             0.00022824,             0.00022824,             0.00022824
                     25,                0.82903,                 1.0128,                0.86246,                0.61597,                0.58325,                0.63162,                0.48587,                0.80467,                0.97632,                0.86214,             0.00020075,             0.00020075,             0.00020075
                     26,                0.81351,                 1.0021,                0.86165,                0.58611,                0.62877,                0.64345,                0.49276,                0.79791,                0.96788,                0.86074,             0.00017326,             0.00017326,             0.00017326
                     27,                  0.809,                0.97544,                0.85897,                0.62662,                0.57855,                0.63128,                0.48393,                0.80215,                0.99687,                0.86629,             0.00014577,             0.00014577,             0.00014577
                     28,                0.80607,                0.97918,                0.85632,                0.60803,                0.63874,                0.64337,                0.49289,                0.80467,                0.94879,                0.86465,             0.00011829,             0.00011829,             0.00011829
                     29,                0.81023,                0.96025,                0.85897,                0.62974,                0.59444,                0.64661,                0.49638,                0.80272,                0.95549,                0.86041,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     30,                0.80446,                 0.9538,                0.85782,                0.62522,                0.59428,                0.64316,                0.49193,                0.79987,                0.96326,                0.85907,             6.3308e-05,             6.3308e-05,             6.3308e-05
